Regularization,C,Dataset,Pipeline,pr_auc_mean,pr_auc_std,f1_mean,f1_std
L1,1.0,bonn_eeg,C,0.7569627005321001,0.048687684656804904,0.5813731656184487,0.0823023229747431
L1,10.0,bonn_eeg,C,0.7501299339717538,0.05538362305222643,0.5891086691086691,0.08685466346974807
L2,0.01,bonn_eeg,C,0.7583633062363988,0.03184713029316667,0.5765353052891047,0.04803163410764797
L2,0.1,bonn_eeg,C,0.7768216781550847,0.029692587883285174,0.638735494197679,0.038382338743611175
L2,1.0,bonn_eeg,C,0.7709822028154332,0.032390942199264854,0.6310162379127896,0.03521691960217333
L2,10.0,bonn_eeg,C,0.7657181357845311,0.03658453375684224,0.638713678549744,0.03545625680176623
ElasticNet(l1=0.3),0.01,bonn_eeg,C,0.7481863091240297,0.02705439799646697,0.4530359236846385,0.09602714423089743
ElasticNet(l1=0.5),0.01,bonn_eeg,C,0.7142843797026924,0.017938308519802548,0.3853847444545119,0.1563359273033666
ElasticNet(l1=0.7),0.01,bonn_eeg,C,0.6945920088591924,0.009791709929653862,0.37064531246816224,0.091340849907988
ElasticNet(l1=0.3),0.1,bonn_eeg,C,0.7493427123969197,0.034622834043736735,0.6028983174879831,0.06706530409480473
ElasticNet(l1=0.5),0.1,bonn_eeg,C,0.7479767573981264,0.03869764647314618,0.5726564536950479,0.07248310493026577
ElasticNet(l1=0.7),0.1,bonn_eeg,C,0.7493164416659781,0.04146738276418371,0.5711712285018654,0.07588624607121912
ElasticNet(l1=0.3),1.0,bonn_eeg,C,0.7531388812942528,0.05320014870816845,0.5882026703455275,0.09326241979607351
ElasticNet(l1=0.5),1.0,bonn_eeg,C,0.7535165583732881,0.05047940155933796,0.5934276340610573,0.09534741361267735
ElasticNet(l1=0.7),1.0,bonn_eeg,C,0.7557191724593818,0.052206754327359904,0.5934276340610573,0.09534741361267735
ElasticNet(l1=0.3),10.0,bonn_eeg,C,0.7499741115280676,0.055668251332307454,0.5891086691086691,0.08685466346974807
ElasticNet(l1=0.5),10.0,bonn_eeg,C,0.7500603333651158,0.055520685283149906,0.5891086691086691,0.08685466346974807
ElasticNet(l1=0.7),10.0,bonn_eeg,C,0.7498950041633572,0.0556831361373145,0.5891086691086691,0.08685466346974807
L1,0.01,eeg_eye_state,A,0.5800348987984119,0.01901043034730943,0.3612153740473854,0.015680267780691176
L1,0.1,eeg_eye_state,A,0.5989941278412223,0.01780339369910468,0.47033320356049346,0.0338677185421509
L1,1.0,eeg_eye_state,A,0.6039809974443627,0.01420164100801127,0.47350542643737564,0.03518940179526262
L1,10.0,eeg_eye_state,A,0.6043813336644892,0.013866065168402022,0.4741228542211716,0.035057916110909866
L2,0.01,eeg_eye_state,A,0.594276936859818,0.021106943483845376,0.43272974733619185,0.034086274607992136
L2,0.1,eeg_eye_state,A,0.6034011301189528,0.01515185577165068,0.46860677359591296,0.03266136425664291
L2,1.0,eeg_eye_state,A,0.6050928441793589,0.012793433737953634,0.4748309500793641,0.03507725503453366
L2,10.0,eeg_eye_state,A,0.6104572847713171,0.010317147218054273,0.48182838166316433,0.033082277710748446
